symbol,name,ccu_slug,market_cap_rank
LST7,LuckySevenToken,luckyseventoken,2629
DTCN,Datocoin,datocoin,2630
RIGEL,Rigel Finance,rigel-finance,2633
BENJI,BenjiRolls,benjirolls,2632
HSN2,Hyper Speed Network,hyper-speed-network,2634
BZL,BZLCOIN,bzlcoin,2635
CCT4,Crystal Clear,crystal-clear,2636
CNNC,Cannation,cannation,
NETC,NetCoin,netcoin,
CON,PayCon,paycon,
URC,Unrealcoin,unrealcoin,
ATX,Artex Coin,artex-coin,
NOTE,DNotes,dnotes,2627
INCO,Incodium,incodium,2638
DLISK,DAPPSTER,dappster,
FLVR,FlavorCoin,flavorcoin,2639
RRC,RRChain,rrcoin,
TEK,TEKcoin,tekcoin,2641
HANA,Hanacoin,hanacoin,2642
SLING,Sling,sling,
POLL,ClearPoll,clearpoll,2644
GIFT2,Loyalty,GIFT,
PHON,PhoneCoin,phonecoin,2645
ARY,Block Array,block-array,2648
SONIQ,Soniq,soniq,
ERY,Eryllium,eryllium,
TOKC,TOKYO,tokyo,2650
KRC,Kineticex,kineticex,
YLC,YoloCash,yolocash,2637
VIVID,Vivid Coin,vivid-coin,2651
WEBN,WEBN,web-innovation-ph,2658
SKIN,SkinCoin,skincoin,2652
IMGC,ImageCash,imagecash,2654
DACHX,DACH Coin,dach-coin,2653
MOD,Modum,modum,
ACTP,Archetypal Network,archetypal-network,2643
GRPH,Graphcoin,graphcoin,
WEX2,Wexcoin,wexcoin,
QVT,Qvolta,qvolta,
XOC,Xonecoin,xonecoin,2666
SPF,SportyCo,sportyco,2659
QBC,Quebecoin,quebecoin,2662
VSX,Vsync,vsync,
VIVO,VIVO,vivo,2663
BXT2,Bitfxt Coin,bitfxt-coin,2665
DOGY,DogeYield,dogeyield,2768
SPK,SparksPay,sparkspay,2656
GDR,Guider,guider,2667
REDV,Redvolution,redvolution,
MRC3,MeroeChain,meroechain,2657
AIT,AICHAIN,aichain,2668
DIM,DIMCOIN,dimcoin,2669
LUNA,Luna Coin,luna-coin,2655
CGEN,CommunityGeneration,communitygeneration,
UET,Useless Ethereum Token,useless-ethereum-token,
EXO2,Exosis,exosis,2649
SIG,Signal Token,spectiv,2673
KSEED,Kush Finance,kush-finance,2670
WYS,Wys Token,wys-token,2671
ATMN,Antimony,antimony,2672
DEB,Debitum Network,debitum-network,2674
BUMBA,BumbaCoin,bumbacoin,
IMS,Independent Money System,independent-money-system,2678
SIERRA,Sierracoin,sierracoin,2860
XG,GIGA,giga,2675
EFL,e-Gulden,e-gulden,2676
LKR,LKRCoin,lkrcoin,2677
XUNI,UltraNote Infinity,ultranote-infinity,2679
MTNS,OmotenashiCoin,omotenashicoin,2682
FND,FundRequest,fundrequest,
FYN,Katalyse,katalyse,
UCS,Uncensored Token,uncensored-token,2681
1CR,1CRedit,1credit,
BIOS,BiosCrypto,bios-crypto,
PACT2,Pact,pact,
ONI,ONI,oni,2683
REA,Realisto,realisto,
CNT,Centurion,centurion,2684
SOIL2,SOILcoin,soilcoin,
HVCO,High Voltage,high-voltage,2583
RSGP,RSGPcoin,rsgpcoin,2685
CXT,Coinonat,coinonat,2736
XES,Proxeus,proxeus,2686
NTR,Netrum,netrum,2687
BTXC,Bettex,bettex,2688
NPC,NPCoin,npcoin,2640
X2P,Xenon Pay,xenon-pay,2692
IMX,Impact,impact,2693
YFN,Yearn Finance Network,yearn-finance-network,2631
OPC,OP Coin,op-coin,
BITS2,Bitcoinus,bitcoinus,2695
CNZ,CryptoNationZ,cryptonationz,
MILO,MiloCoin,milocoin,2694
I0C,I0Coin,i0coin,
ELD,Electrum Dark,electrum-dark,2696
WELL,Well,well,
LRM,Liquid Regenerative Medicine Coin,lrm-coin,2697
OAK,Acorn Collective,acorn-collective,2698
GJC,Global Jobcoin,global-jobcoin,
UVU,CCUniverse,ccuniverse,2699
SHB,SkyHub,skyhub-coin,2691
XCON,Connect Coin,connect-coin,2680
FXP,FXPay,fxpay,2700
PAXEX,PAXEX,paxex,2701
FRD,Farad,farad,
BLAST,BLAST,blast,2702
DAN,Daneel,daneel,2703
ZOL,ZOLAN,zolan,2704
FLAX,Flaxscript,flaxscript,
GRIM,Grimcoin,grimcoin,
EBASE,EURBASE,eurbase,2706
ALTCOM,AltCommunity Coin,altcommunity-coin,2707
ATS,Authorship,authorship,2708
CAID,ClearAid,clearaid,2705
JS,JavaScript Token,javascript-token,2709
KRS,Krypstal,krypstal,
ENGT,Engagement Token,engagement-token,2711
SONG,SongCoin,songcoin,2712
ZEIT,Zeitcoin,zeitcoin,
DOW,Dowcoin,dowcoin,2715
PURE,Pure,pure,2719
VIKKY,VikkyToken,vikkytoken,2726
HGO,HireGo,hirego,
RAGNA,Ragnarok,ragnarok,2722
AAA2,Abulaba,abulaba,2717
XXX,AdultChain,adultchain,2718
OS76,OsmiumCoin,osmiumcoin,2720
BBI,Beluga Pay,beluga-pay,
SOAR,Soarcoin,soarcoin,2723
BDCASH,BigdataCash,bigdatacash,2730
RNS,Renos,renos,
SPERO,SperoCoin,sperocoin,2724
BSTAR,Blackstar,blackstar,2725
BTCUI,Bitcoin Unicorn,bitcoin-unicorn,2727
CARE,Carebit,carebit,2728
CAZ,CazCoin,cazcoin,2729
POD,Payment Coin,payment-coin,2732
AFO1,All For One Business,all-for-one-business,2733
BNX,BnrtxCoin,bnrtxcoin,
OGODS,GOTOGODS,gotogods,2734
ZND,Zenad,zenad,2735
BTQ,BitQuark,bitquark,
XAP,Apollon,apollon,2716
JNT,Jibrel Network,jibrel-network,2769
USNBT,NuBits,nubits,2737
ETIT,eTITANIUM,etitanium,2813
WBB,Wild Beast Block,wild-beast-block,2738
BOAT,Doubloon,doubloon,2739
ECU,ECOSC,ecosc,2771
GOSS,GOSSIP-Coin,gossipcoin,2713
HYPX,HYPNOXYS,hypnoxys,
MNME,Masternodesme,masternodesme,2742
LCT2,LendConnect,lendconnect,
MERI,Merebel,merebel,2721
OWD,Owlstand,owlstand,
ASG,Asgard,asgard,2743
REDC,RedCab,redcab,
BTR,Bitether,bitether-token,2896
ECN,E-coin,e-coin,
KTS,Klimatas,klimatas,2744
POS,PoSToken,postoken,
HMP,HempCoin,hempcoin-hmp,2745
CCL,CYCLEAN,cyclean,2746
XGOX,GO! Coin,go-coin,2747
KURT,Kurrent,kurrent,
MAG,Magnet,MAG,
ETHP,ETHPlus,ethplus,2779
YFIM,Yearn Finance Money,yearn-finance-money,2763
HLX2,Helex,helex,2748
PTE,Peet DeFi,peet-defi,2710
PAYX,Paypex,paypex,2749
XBTS,Beatcoin,beatcoin,
PAZZI,Paparazzi,paparazzi,2750
BTSA,BitcoinSaving,bitcoinsaving,
ICON,Iconic,iconic,2741
XZX,Zixx,zixx,2754
SCSX,Secure Cash,secure-cash,2776
BKC,Bankcoin Cash,bankcoin-cash,2755
SCT,Soma,soma,2756
FIRE,Firecoin,firecoin,2757
CPC4,Cashpayz Token,cashpayz-token,2758
IMPS,ImpulseCoin,impulsecoin,
VIU,Viuly,viuly,2759
OLMP,Olympic,olympic,2760
DUCK2,Duck Finanace,duck-finanace,2828
ZOC,01coin,01-coin,2753
AEVO,Aevo,aevo,2761
XMCC,MonacoCoin,monacocoin,2762
CEDEX,CEDEX Coin,cedex-coin,
JOBS,JobsCoin,jobscoin,
PDX,PayDay,payday,2764
DRAGON,Dragon Option,dragon-option,2765
MRO,Mero Currency,mero-currency,2766
SLEVIN,Slevin,slevin,
MKCY,Markaccy,markaccy,2770
WBT,Whalesburg,whalesburg,2772
FLY,Flycoin,flycoin,
URALS,UralsCoin,uralscoin,2773
HCA,Harcomia,harcomia,2774
NXX,Nexxus,nexxus,
KOD,KODcoin,kodcoin,2775
FBC2,Fibercoin,fibercoin,2622
VPRC,VapersCoin,vaperscoin,2777
BRAT,Brat,brat,2778
KLC2,Kalkicoin,kalkicoin,
VOLT,Bitvolt,bitvolt,2780
CTIC2,Coimatic 2.0,coimatic-2,2783
SLFI,Selfiecoin,selfiecoin,
ACC,AdCoin,ACC,
ALX,ALAX,alax,2784
SEAL3,Seal Finance,seal-finance,2785
BIT3,BitMoney,bitmoney,2786
KLC,KiloCoin,kilocoin,
CTC5,Cryptocoin,cryptocoin,2782
AMS,AmsterdamCoin,amsterdamcoin,2787
AGLT,Agrolot,agrolot,2961
GBX,Globitex,globitex,2788
XRH,Rhenium,rhenium,
SCORE,Scorecoin,scorecoin,
BXC5,Bitcoin Classic,bitcoin-classic,2789
MUST2,MUST,cometh,2790
BUL,Bulleon,bulleon,2781
CYL,Crystal Token,crystal-token,2791
SIM,Simmitri,simmitri,2792
TPC,TPCash,tpcash,
SDOG2,SAFEDOG,safedog,2795
EDC20,EDC-20,edc-blockchain-old,2793
KUE,Kuende,kuende,
XID2,Sphere Identity,sphere-identity,
LTCU,LiteCoin Ultra,litecoin-ultra,
ARFI,Aroma Finance,aroma-finance,2796
BCARD,CardBuyers,cardbuyers,2797
P7C,P7Coin,p7coin,
SET2,Save Environment Token,save-environment-token,2798
MSCN,Master Swiscoin,master-swiscoin,2799
XCRE,Creatio,creatio,
CESC,CryptoEscudo,cryptoescudo,
BIC4,Bitcrex Coin,bitcrex-coin,2849
AIAS,AIAS Coin,aias-coin,2801
REB,Rebglo,rebglo,
HZT,Hazel,hazel,
LGS,LogisCoin,logiscoin,2802
WTL,Welltrado,welltrado,2803
PRTX,Printex,printex,2805
SND2,SnodeCoin,snodecoin,2800
XCT,C-Bit,c-bit,
ARGUS,Argus,argus,2806
STPX,Stash,stash,2804
MINTD,MINTD,MINTD,
CLM,Claymore,claymore,2807
DIN,Dinero,dinero,2808
HBC,HomeBlockCoin,homeblockcoin,
TREX,Trexcoin,trexcoin,2928
IRL,IrishCoin,irishcoin,
PRJ,Project Coin,project-coin,2809
TORQ,TORQ Coin,torq,2810
XPTX,PlatinumBAR,platinumbar,2811
MMT,Maximum Exchange,maximum-exchange,2767
SAKE,SAKECOIN,sakecoin,2812
STR3,Staker,staker,
ALT,Altcoin,altcoin-alt,
BND,Blocknode,blocknode,2814
XENO,Xenoverse,xenoverse,2815
XGEN,Next Generation,next-generation,
BTCONE,BitCoin ONE,bitcoin-one,2794
VTL,Vertical,vertical,
OROX,Cointorox,cointorox,2816
BNY,Bancacy,bancacy,2818
ESK,ESKA,eska,2821
BRK,Breakout,breakout,
MBGL,Mobit Global,mobit-global,2819
MOX,MoX,mox,2820
SLT3,SLT,slt,2872
ICHX,IceChain,icechain,2822
PONZI,PonziCoin,ponzicoin,2823
HAC,Hackspace Capital,hackspace-capital,
BOON,BOON Tech,boon-tech,
XN,Nodium,nodium,2824
NEWB,Newbium,newbium,
DFS,Digital Fantasy Sports,fantasy-sports,2825
GENX,Genesis,genesis,2826
TUX,Tuxcoin,tuxcoin,2827
WLO,Wollo,wollo,2829
ABN,Abncoin,abncoin,
AT,ABCC Token,abcc-token,2830
EVOS,EVOS,evos,2832
TT2,Traders Token,traders-token,
NZL,Zealium Coin,zealium,2833
BETR,BetterBetting,betterbetting,2834
MM,MarcusMillichap,marcusmillichap,
MERO2,Mero,mero,
CLX3,Celeum,celeum,2835
NKA,IncaKoin,incakoin,
JC,Jesus Coin,JC,
BTP3,BitPal,bitpal,2949
MNP,MNPCoin,mnpcoin,2837
HTA,Historia,historia,2838
OURO,Ouroboros,ouroboros,2839
KZE,Almeela,almeela,2840
GRMD,GreenMed,greenmed,2841
MRI,Mirai,mirai,2842
PUREX,Pure,purex,
BUCKS,SwagBucks,swagbucks,2845
CURVE,Curvehash Coin,curvehash-coin,2843
OHM,OHM,ohm-wallet,
ORM,ORIUM,orium,2844
EBET,EthBet,ethbet,
SEKO,Sekopay,sekopay,2846
BULLION,BullionPAY,bullionpay,2847
SPZ,Swapcoinz,SPZ,
ACRE,Acre,acre,
TKR,Trackr,trackr,
ORE,Galactrum,galactrum,2817
TRD2,Bittrader,bittrader,2850
DSD2,Dynamic Set Dollar,dynamic-set-dollar,2848
PYX,PyrexCoin,pyrexcoin,2851
BAZT,Baz Token,baz-token,2852
ELTCOIN,ELTCOIN,eltcoin,
ELS,Elysium,elysium,
NOX,Nitro,nitro,2853
CDZC,CryptoDezireCash,cryptodezirecash,2854
DIBC,DIBCOIN,dibcoin,
OBT,Orbis Token,orbis-token,2855
BSC,BowsCoin,bowscoin,
RPC,RonPaulCoin,ronpaulcoin,2856
ABCD2,ABCD Token,abcd-token,2857
B2C,BitClassic,bitclassic,2858
PRC,PRCoin,prcoin,
GLS,GlassCoin,glasscoin,
GMCN,GambleCoin,gamblecoin,2859
BSX,Bitspace,bitspace,2861
CRB,Creditbit,creditbit,2862
XMASS,XMASS,xmass,
OMB,Ombre,ombre,
XCG,Xchange,xchange,2864
HKG,Hacker Gold,hacker-gold,
ABET,Altbet,altbet,2865
CRU,Curium,curium,
P2PX,P2PX,p2px-token,2866
STO2,Storeum,storeum,2868
2GO,CoinToGo,cointogo,2867
CONX,Concoin,concoin,2869
BOXX,Blockparty,blockparty-(boxx-token),2870
GRV,Gravium,gravium,2871
XC,XCurrency,xcurrency,
MFIT,MFIT COIN,mfit-coin,
CREVA,CrevaCoin,crevacoin,
BIOB,BioBar,biobar,
ABJ,Abjcoin,abjcoin,
CRBT,Cruisebit,cruisebit,
NYAN,Nyancoin,nyancoin,2875
SPDR3,Spider VPS,spider-vps,
CNMC,Cryptonodes,cryptonodes,2876
MORE,Mithril Ore,more-coin,
QTL,Quatloo,quatloo,
ZEST,ZEST,zest,2877
ETKN,BeEasy,beeasy,
BST,Blocksquare,blocksquare,2873
SPEC,SpectrumNetwork,spectrumnetwork,
PAR,Parlay,parlay,2874
TMB2,TemboCoin,tembocoin,
DAB,DABANKING,dabanking,2878
STH,Smartholdem,smartholdem,
XCXT,CoinonatX,coinonatx,2882
ETGP,Ethereum Gold,ethereum-gold,2881
SPACE,SpaceCoin,spacecoin,
CALC,CaliphCoin,caliphcoin,
ZBA,Zoomba,zoomba,2884
MTC,Doc.com,doc.com-token,2880
PROC,ProCurrency,procurrency,2885
LABX,Stakinglab,stakinglab,2886
HVS,Huvino Shares,huvino-shares,
GEX3,Gexan,gexan,2887
BCP,BlueChiliPromo,bluechilipromo,
WCO,Winco,winco,2888
DC,Ducat Coin,ducat-coin,
SHMN,StrongHands Masternode,stronghands-masternode,2879
SYBC,SYB Coin,syb-coin,2889
IXE,IXTUS Edutainment,ixtus-edutainment,2890
EGAS,Ethgas,ethgas,
ESN,Ethersocial,ethersocial,2891
XGR,GoldReserve,goldreserve,
DGCS,Digital Credits,digital-credits,2892
SMC,SmartCoin,smartcoin,2894
EPIC,EPIC Coin,epic-coin,2893
NOBS,No BS Crypto,no-bs-crypto,2902
GEERT,GeertCoin,geertcoin,
GPA,Gplay,gplay,2895
ARCT,ArbitrageCT,arbitragect,2897
SFE,SafeCoin,safecoin,2898
GP,GoldPieces,GP,
BENZ,Benz,benz,2900
AZART,Azart,azart,2901
J,Joincoin,joincoin,
ZIO,ZIO,zio,
BOST,BoostCoin,boostcoin,2903
MC,MasterCoin,mastercoin,2904
BXT,BitTokens,bittokens,
TSTR,Tristar Coin,tristar-coin,
NTX,Netchain,netchain,2899
WSP,Wispr,wispr,2905
ZYD,Zayedcoin,zayedcoin,2906
TYCHO,Tychocoin,tychocoin,
GXC3,GX Coin,gxcoin,
BAS,BitAsean,bitasean,
AXE,AXE,axe,2907
RCO,Rampant Coin,rampant-coin,
COTN,Cotton,cotton,2908
ZOW,ZOOW,zoow,
DDX2,dietbitcoin,dietbitcoin,
HTX,Huptex,huptex,2910
EVO,Evotion,evotion,
CFD,Confido,confido,
BON,Bonpay,bonpay,2911
CSX,CASAX,casax,
WOW6,WOWswap,wowswap,2912
EAGLE,EagleCoin,eaglecoin,
CCC,Blockshipping GSCP,blockshipping-gscp,
FLM3,Folm,folm,2914
QBO,Qabio,qabio,
VUC,Virta Unique Coin,virta-unique-coin,
INPAY,InPay,inpay,
STN2,Steneum Coin,stenum-coin,
CBC,CashBet Coin,casino-betting-coin,2913
EREAL,eREAL,ereal,
PCOIN,Pioneer Coin,pioneer-coin,
ELLI,Eliot Coin,elliot-coin,2917
ROOFS,Roofs,roofs,
CATS,Catscoin,catscoin,2920
AI,POLY AI,poly-ai,
CNO,Coin(O),coin,
ESC,Escoro,escoro,
HMC,HarmonyCoin,harmonycoin,2919
TOKEN,SwapToken,swaptoken,
PIE2,PIECoin,piecoin,
VLT,Veltor,veltor,
EXPI,EXPi,expi,2921
BTT5,BlockTrade,blocktrade-token,2922
BVC,BeaverCoin,beavercoin,
QNO,QYNO,qyno,2923
CCBC,CryptoCashBack,cryptocashback,
MST,MustangCoin,mustangcoin,2925
BRG,Bring,bring,2916
ATL,ATLANT,atlant,2926
TASK,Taskeva,taskeva,
SDP,SydPak,sydpak,
RMC,Remicoin,remicoin,
MPT,Money Plant Token,money-plant-token,2927
ACAD,Academy,academy,
TRADE5,Tradecoin,tradecoin-v2,
ECO,EcoCoin,ecocoin,2909
PSC,PrimeStone,primestone,2929
DTEM,Dystem,dystem,2930
DFS2,DEFENSE,defense,
WLX,WaveLengthXash,wavelengthxash,
NETKO,Netko,netko,2931
PSY2,Psy Token,psy-token,
JIYOX,JIYO,jiyo,2933
TGCH,TrueGalaxyCash,truegalaxycash,
JBX,JBOX,jboxcoin,
FRAZ,Frazcoin,frazcoin,
BLCR,Blacer Coin,blacer-coin,2932
CRTM,Corethum,corethum,
PCR,Paycore,paycore,2934
DVD,Dividend.Cash,dividend-cash,
MNDX,MNDX,mndx,
ZCG,ZCash Gold,zcash-gold,
BTPL,Bitcoin Planet,bitcoin-planet,2935
CCC3,Concierge Coin,concierge,
AER,Aeryus,aeryus,2936
QCN,QuazarCoin,quazarcoin,
BITF,BitF,bitf,
BLS,BLISSCOIN,blisscoin,
MDC,MadCoin,madcoin,
TRK,Truckcoin,truckcoin,
OUR2,Ourcoin,ourcoin,2938
PLACO,PlayerCoin,playercoin,2939
FOX2,SmartFox,smartfox,
CRED,Verify,verify,2940
NXR,NEUROMASTER,neuromaster,2941
REDFISH,Redfishcoin,redfishcoin,
MTE,Mesteam,mesteam,
TAL,Talus,talus,
GEN,Genesis Coin,genesis-coin,
DIG,Dignity,dignity,2944
RGS,RusGas,rusgas,
MEME,Memetic,memetic,2943
SMK,Sharing Market Coin,sharingmarketcoin,
PRX,Printerium,printerium,
XLC,Ethereum Lite Cash,ethereum-lite-cash,
NEWS,PUBLISH,publish,2946
LVPS,LevoPlus,levoplus,
RPT,RealPropertyToken,realpropertytoken,2950
CRDNC,Credence Coin,credence-coin,
MOONB,MOONBITCH,moonb,2947
FXE,FuturXe,futurexe,
DELIZ,Delizia,delizia,
AMBK,AMBANK COIN,ambank-coin,2951
EBT,Ebittree Coin,ebittree-coin,
1UP,Uptrennd,uptrennd,2948
PEX,PosEx,posex,2952
SH,Shilling,shilling,
CLOAK,CloakCoin,cloakcoin,2953
NIMFA,Nimfamoney,nimfamoney,
ZZC,ZoZoCoin,zozocoin,2954
HARC,HashRentalCoin,hashrentalcoin,
SPT,Spots,spots,
THAR,Thar Token,thar-token,2955
MP3,REVAMPED MUSIC,revamped-music,2956
APW,AppleCoin,applecoin-apw,
DLITE,DLite Token,dlite-token,2957
DICE4,Dice.Finance,dice-finance,2958
ESHARE,EverShare,evershare,2959
PAMP,PAMP Network,pamp-network,2960
GOLD,Digital Gold,digital-gold,2962
ECHT,e-Chat,e-chat,2963
VISIO,Visio,visio,2964
NTO,Fujinto,fujinto,
REV3,Revenu,revenu,
NDO,Nandoos,nandoos,2965
PA,Polar,polar,2966
YSKF,Yearn Shark Finance,yearn-shark-finance,2967
XQR,Qredit,qredit,2968
QNODE,Quantum Node,quantum-node,
SFC,Solarflarecoin,SFC,
XEN,Xenixcoin,xenixcoin,
IETH2,iEthereum,iethereum,
HUSH,Hush,hush,2969
MIRC,Miracle Token,miracle-token,
FLIP,EtherFlip,etherflip,
CCN,Cannacoin,cannacoin,
CVA,Crypto Village Accelerator,crypto-village-accelerator,2970
DAR,Darcrus,darcrus,
FAL,Falcoin,falcoin,
ATRI,Atari Token,atari,2971
ULA,Ulatech,ulatech,
SAT,Social Activity Token,social-activity-token,2972
ROC,Rasputin Online Coin,rasputin-online-coin,
BITS,Bitstar,bitstar,2974
LEAF,Leaf,leaf,
ELYTE,Ethereum Lyte,ethereum-lyte,
SCN,Secure Cloud Net,secure-cloud-net,2975
ROCK,Rocketcoin,rocketcoin,
STARSHIP,STARSHIP,starship,2976
MALC,Malcoin,malcoin,
AQUA3,Planet Finance,aqua2,2977
UNI6,Universe,universe,
LIF,Winding Tree,winding-tree,2978
EWIT,eWIT,ewit,2979
7E,7Eleven,7eleven,
AL,Alive Casino,alive-casino,
AV,AvatarCoin,avatarcoin,3045
B3,B3 Coin,b3-coin,
BC,Boomstarter.Network,boomstarter-network,
BN,BoxiNode,BN,
BU,Bumo,bumo,
CB,CB Token,cb-token,
CD,Chainstake DEFI,chainstake-defi,
CR,CryptoRiyal,cryptoriyal,
EC,EU Coin,eu-coin,
FN,Filenet,filenet,
GC,Gric,gric,
GT,GTest,gtest,
HL,HL Chain,hl-chain,
HN,Hellenic Node,hellenic-node,
HY,Hybrix Hydra,hybrix,
IT,Infinity Token,infinitytoken,
KC,KloutCoin,kloutcoin,
LK,Liker,liker,
LX,Moonlight,moonlight,
MB,MineBee,minebee,
ME,all.me,all-me,
MG,Mind Gene,mind-gene,
MU,Mu Continent,mu-continent,
MW,Masterwin,masterwin,2996
MX,MX Token,mx-token,
NT,NexDAX,nexdax,
OF,OFCOIN,ofcoin,
OX,OX Fina,ox-fina,
PC,Promotion Coin,promotion-coin,
PK,Pennykoin,pennykoin,
RB,Royal BNB,royal-bnb,
S8,Super 8,super-8,
SG,SocialGood,socialgood,
SP,SunPower,sunpower,
TV,Ti-Value,ti-value,
UC,YouLive Coin,youlive-coin,
UR,UR,ur,
VD,Bitcoin Card,bitcoin-card,
VN,Vice Network,vice-network,
W1,W1 Platform,w1,
WA,WA Space,wa-space,
WC,WINCOIN,wincoin,
WT,WorldWiFI,worldwifi,
X2,X2,x2,3012
XT,ExtStock Token,extstock-token,
YO,Yobit Token,yobit-token,
0XG,Ether Gold,ether-gold,
18C,Block18,block18,
1SG,1SG,1sg,
2X2,2X2,2x2,
404,404,404,
4XB,MyBtcFx,mybtcfx,
777,BiNGO.Fun,bingo.fun,
7SP,Seven Coin,seven-coin,
999,999,999,
99B,99B Token,99b-token,
ABL,AIRBLOC Protocol,airbloc,
ABS,Absolute Coin,absolute,
ABY,ArtByte,applebyte,3038
ACN,Avoncoin,avoncoin,
ACU,Aitheon,aitheon,
ADE,Adeptio,adeptio,
ADK,Aidos Kuneen,aidos-kuneen,
ADM,ADAMANT Messenger,adamant-messenger,
ADS,Adshares,adshares,
AET,Aeternum Coin,aeternum-coin,
AEX,AeriumX,aeriumx,
AGA,AGA Token,aga,
AGM,Argoneum,argoneum,
AIB,Advanced Internet Blocks,advanced-internet-blocks,
AIC,AI Crypto,ai-crypto,
AIS,AIS-X,ais-x,
AIV,AIVIA,aivia,
AL2,Asset Luminous,asset-luminous,
ALC,AligatoCoin,aligatocoin,
ALE,Alehub,alehub,
ALG,Algory,algory,
ALP,Alphacon,alphacon,
ALV,ALLIVE,allive,
AMG,Amalgam,amalgam,
AMZ,Amazing Coin,amzcoin,
ANI,Animecoin,animecoin,
ANN,Apexel Natural Nano,apexel-natural-nano,
ANU,AlphaNu,alphanu,
AOG,smART OF GIVING,smartofgiving,
AOS,AOS,aos,
AOW,Art of War,,
APC,AlpaCoin,alpacoin,
APT,ArtPro,artpro,
AQU,aQuest,aquest,
AQX,Aqua Intelligence,aqua,
ARR,ARROUND,arround,
ASC,AsicCoin,asiccoin,
ASH,Aeneas,aeneas,
AT3,AT Finance,at-finance,
ATF,AgroTechFarm,agrotechfarm,
ATI,Atilius Venture Debt Fund,atilius-venture-debt-fund,
ATV,Activity,activity,
AVH,Animation Vision Cash,animation-vision-cash,
AXA,AXA Foundation,axa-foundation,
AXL,Axial Entertainment Digital Asset,axial-entertainment-digital-asset,
B2G,Bitcoiin,bitcoiin,
B2X,SegWit2x (Pre-Launch),segwit2x,
B91,B91,b91,
BAC,BitAlphaCoin,bitalphacoin,
BAI,BAInvest,bainvest,
BAK,TokenBacon,tokenbacon,
BAW,BAW Network,baw-network,
BAY,BitBay,bitbay,
BAZ,Baza Foundation,baza-foundation,
BBC,BigBoobsCoin,bigboobscoin,
BBO,Bigbom Eco,bigbom,
BBX,Blockbuster,blockbuster,
BCB,BCB Blockchain,bcb-blockchain,
BCG,BC.Game,bc-game,
BCL,BitcoinClean,BCL,
BCO,BridgeCoin,bridgecoin,
BCX,BitcoinX [Futures],bitcoinx,
BDS,Big Digital Shares,big-digital-shares,
BFC,Betform,BFC,
BG2,BigGame,biggame,
BGG,Bgogo,bgogo-token,
BGR,Bongger,bongger,
BHT,BHex,bhex,
BIC,BIC coin,bic-coin,
BIH,BitHostCoin,bithostcoin,
BIL,Blackbill,blackbill,
BIT,Bitexblock,bitexblock,
BKF,BKEX Finance,bkex-finance,
BKK,BKEX Token,bkex-token,
BKY,Bluekey,bluekey,
BLT,Bloom,bloom,
BMT,BMCHAIN,bmchain,
BNK,Bankera,bankera,
BNL,Bnlio,bnlio,
BOC,BingoCoin,bingocoin,
BOK,Blockium,blockium,
BOX,ContentBox Token,contentbox,
BPX,Bispex,bispex,
BQT,Blockchain Quotations Index Token,blockchain-quotations-index-token,
BRC,Baer Chain,baer-chain,
BRF,Bitrace Token,bitrace-token,
BRZ,Brazilian Digital Token,brazilian-digital-token,
BSH,Bitcoin Stash,bitcoin-stash,
BTA,Bitcoin Blue,bitcoin-blue,
BTF,BitPhantom,bitphantom,
BTI,BitcoinInstant,bitcoininstant,
BTK,Bitcoin Turbo Koin,bitcointoken,
BTL,BitLong,bitlong,
BTP,Bitproperty,bitproperty,
BTZ,Bitzon,bitzon,
BUC,Buycoin,buycoin,
BUT,BitUP Token,bitup-token,
BUX,Buxcoin,buxcoin,
BUZ,Buzcoin,buzcoin,
BVK,Bitcoin 5000,bitcoin-5000,
BWB,Bit World Token,bw-coin,
BWX,Blue Whale,blue-whale-exchange,
BZO,Bizomni,bizomni,
BZT,Bloomzed Token,bloomzed-token,
C25,C25 Platform,c25-platform,
C2P,Coin2Play,coin2play,
C3X,Conn3x,conn3x,
C4L,Crypto4Like,crypto4like,
C4T,Coin4Trade,coin4trade,
CA2,ChongAi,chongai,
CAI,Cai Token,cai-token,
CAP,Capital Coin,capital-coin,
CBM,Crypto Bonus Miles,cryptobonusmiles,
CBT,Commerce Block,commerceblock,
CCA,Counos Coin,counos-coin,
CCM,Crypto Coupons Market,crypto-coupons-market,
CCX,CoinCasso,coincasso,
CCY,CCY,ccy,
CDC,Commerce Data Connection,commerce-data-connection,
CDF,CryptoDivaFund,cryptodivafund,3041
CDS,Cloud Nodes,cloud-nodes,
CEN,Centaure,centaure,
CFX,CRYPTOFOREX,cryptoforex,
CHE,Crypto Harbor Exchange,crypto-harbor-exchange,
CHG,Charg Coin,charg-coin,
CHT,Countinghouse Fund,countinghouse-fund,
CIC,Coal Industry Coin,coal-industry-coin,
CIF,Crypto Improvement Fund,crypto-improvement-fund,
CLD,Cloud,cloud,
CLG,Collegicoin,collegicoin,
CLT,CoinLoan Token,coin-loan-token,
CLV,Clover,clover-protocol,
CMA,Crypto Market Ads,crypto-market-ads,
CMC,ChristianMission,christianmission,
CMP,Compcoin,compcoin,
CNB,Canabio,canabio,
COI,Coinnec,coinnec,
COL,COLIUM,colium,
COT,CoTrader,cotrader,
COW,Cowry,cowry,2993
COY,CoinAnalyst,coinanalyst,
COZ,COZ,coz,
CPO,Crypto,crypto-token,
CRD,CryptalDash,cryptaldash,
